YAL040C	CLN3	CycLiN
YAL062W	GDH3	Glutamate DeHydrogenase
YAL067C	SEO1	Suppressor of sulfoxyde EthiOnine resistance
YAR007C	RFA1	Replication Factor A
YBL023C	MCM2	MiniChromosome Maintenance
YBL027W	RPL19B	Ribosomal Protein of the Large subunit
YBL035C	POL12	POLymerase
YBL038W	MRPL16	Mitochondrial Ribosomal Protein, Large subunit
YBL072C	RPS8A	Ribosomal Protein of the Small subunit
YBL087C	RPL23A	Ribosomal Protein of the Large subunit
YBL090W	MRP21	Mitochondrial Ribosomal Protein
YBL092W	RPL32	Ribosomal Protein of the Large subunit
YBR031W	RPL4A	Ribosomal Protein of the Large subunit
YBR048W	RPS11B	Ribosomal Protein of the Small subunit
YBR060C	ORC2	Origin Recognition Complex
YBR087W	RFC5	Replication Factor C
YBR088C	POL30	POLymerase
YBR109C	CMD1	CalMoDulin
YBR122C	MRPL36	Mitochondrial Ribosomal Protein, Large subunit
YBR160W	CDC28	Cell Division Cycle
YBR181C	RPS6B	Ribosomal Protein of the Small subunit
YBR189W	RPS9B	Ribosomal Protein of the Small subunit
YBR191W	RPL21A	Ribosomal Protein of the Large subunit
YBR195C	MSI1	Multicopy Suppressor of IRA1
YBR202W	MCM7	MiniChromosome Maintenance
YBR213W	MET8	METhionine requiring
YBR268W	MRPL37	Mitochondrial Ribosomal Protein, Large subunit
YCR028C	FEN2	FENpropimorph resistance
YCR031C	RPS14A	Ribosomal Protein of the Small subunit
YDL061C	RPS29B	Ribosomal Protein of the Small subunit
YDL075W	RPL31A	Ribosomal Protein of the Large subunit
YDL081C	RPP1A	Ribosomal Protein P1 Alpha
YDL082W	RPL13A	Ribosomal Protein of the Large subunit
YDL083C	RPS16B	Ribosomal Protein of the Small subunit
YDL102W	POL3	POLymerase
YDL130W	RPP1B	Ribosomal Protein P1 Beta
YDL136W	RPL35B	Ribosomal Protein of the Large subunit
YDL164C	CDC9	Cell Division Cycle
YDL191W	RPL35A	Ribosomal Protein of the Large subunit
YDL202W	MRPL11	Mitochondrial Ribosomal Protein, Large subunit
YDL208W	NHP2	Non-Histone Protein
YDL210W	UGA4	Utilization of GAba
YDL215C	GDH2	Glutamate DeHydrogenase
YDR012W	RPL4B	Ribosomal Protein of the Large subunit
YDR025W	RPS11A	Ribosomal Protein of the Small subunit
YDR064W	RPS13	Ribosomal Protein of the Small subunit
YDR111C	ALT2	ALanine Transaminase
YDR116C	MRPL1	Mitochondrial Ribosomal Protein, Large subunit
YDR206W	EBS1	Est1-like Bcy1 Suppressor
YDR207C	UME6	Unscheduled Meiotic gene Expression
YDR253C	MET32	METhionine requiring
YDR322W	MRPL35	Mitochondrial Ribosomal Protein, Large subunit
YDR337W	MRPS28	Mitochondrial Ribosomal Protein, Small subunit
YDR347W	MRP1	Mitochondrial Ribosomal Protein
YDR353W	TRR1	ThioRedoxin Reductase
YDR364C	CDC40	Cell Division Cycle
YDR382W	RPP2B	Ribosomal Protein P2 Beta
YDR405W	MRP20	Mitochondrial Ribosomal Protein
YDR418W	RPL12B	Ribosomal Protein of the Large subunit
YDR447C	RPS17B	Ribosomal Protein of the Small subunit
YDR450W	RPS18A	Ribosomal Protein of the Small subunit
YDR471W	RPL27B	Ribosomal Protein of the Large subunit
YDR500C	RPL37B	Ribosomal Protein of the Large subunit
YEL032W	MCM3	MiniChromosome Maintenance
YEL062W	NPR2	Nitrogen Permease Regulator
YER018C	SPC25	Spindle Pole Component
YER056C	FCY2	FluoroCYtosine resistance
YER070W	RNR1	RiboNucleotide Reductase
YER074W	RPS24A	Ribosomal Protein of the Small subunit
YER102W	RPS8B	Ribosomal Protein of the Small subunit
YER117W	RPL23B	Ribosomal Protein of the Large subunit
YER131W	RPS26B	Ribosomal Protein of the Small subunit
YFL036W	RPO41	RNA POlymerase
YFR030W	MET10	METhionine requiring
YGL093W	SPC105	Spindle Pole Component
YGL125W	MET13	METhionine requiring
YGL201C	MCM6	MiniChromosome Maintenance
YGR019W	UGA1	Utilization of GAba
YGR109C	CLB6	CycLin B
YGR118W	RPS23A	Ribosomal Protein of the Small subunit
YGR180C	RNR4	RiboNucleotide Reductase
YGR214W	RPS0A	Ribosomal Protein of the Small subunit
YHL001W	RPL14B	Ribosomal Protein of the Large subunit
YHR141C	RPL42B	Ribosomal Protein of the Large subunit
YHR147C	MRPL6	Mitochondrial Ribosomal Protein, Large subunit
YHR172W	SPC97	Spindle Pole Component
YIL069C	RPS24B	Ribosomal Protein of the Small subunit
YIL144W	NDC80	Nuclear Division Cycle
YIL150C	MCM10	MiniChromosome Maintenance
YIR017C	MET28	METhionine
YIR029W	DAL2	Degradation of Allantoin
YIR032C	DAL3	Degradation of Allantoin
YJL035C	TAD2	tRNA-specific Adenosine Deaminase
YJL060W	BNA3	Biosynthesis of Nicotinic Acid
YJL063C	MRPL8	Mitochondrial Ribosomal Protein, Large subunit
YJL096W	MRPL49	Mitochondrial Ribosomal Protein, Large subunit
YJL136C	RPS21B	Ribosomal Protein of the Small subunit
YJL172W	CPS1	CarboxyPeptidase yscS
YJL173C	RFA3	Replication Factor A
YJL177W	RPL17B	Ribosomal Protein of the Large subunit
YJL189W	RPL39	Ribosomal Protein of the Large subunit
YJL190C	RPS22A	Ribosomal Protein of the Small subunit
YJL191W	RPS14B	Ribosomal Protein of the Small subunit
YJL194W	CDC6	Cell Division Cycle
YJR006W	POL31	POLymerase
YJR010W	MET3	METhionine requiring
YJR043C	POL32	POLymerase
YJR123W	RPS5	Ribosomal Protein of the Small subunit
YJR137C	MET5	METhionine requiring
YJR145C	RPS4A	Ribosomal Protein of the Small subunit
YJR149W	YJR149W	unknown
YKL001C	MET14	METhionine requiring
YKL006W	RPL14A	Ribosomal Protein of the Large subunit
YKL042W	SPC42	Spindle Pole Component
YKL045W	PRI2	DNA PRImase
YKL112W	ABF1	ARS-Binding Factor 1
YKL113C	RAD27	RADiation sensitive
YKL156W	RPS27A	Ribosomal Protein of the Small subunit
YKL180W	RPL17A	Ribosomal Protein of the Large subunit
YKR054C	DYN1	DYNein
YKR057W	RPS21A	Ribosomal Protein of the Small subunit
YKR094C	RPL40B	Ribosomal Protein of the Large subunit
YLL004W	ORC3	Origin Recognition Complex
YLL045C	RPL8B	Ribosomal Protein of the Large subunit
YLR029C	RPL15A	Ribosomal Protein of the Large subunit
YLR045C	STU2	Suppressor of TUbulin
YLR048W	RPS0B	Ribosomal Protein of the Small subunit
YLR075W	RPL10	Ribosomal Protein of the Large subunit
YLR092W	SUL2	SULfate
YLR103C	CDC45	Cell Division Cycle
YLR167W	RPS31	Ribosomal Protein of the Small subunit
YLR185W	RPL37A	Ribosomal Protein of the Large subunit
YLR212C	TUB4	TUBulin
YLR233C	EST1	Ever Shorter Telomeres
YLR274W	MCM5	MiniChromosome Maintenance
YLR287C	YLR287C	unknown
YLR325C	RPL38	Ribosomal Protein of the Large subunit
YLR333C	RPS25B	Ribosomal Protein of the Small subunit
YLR340W	RPP0	Ribosomal Protein P0
YLR344W	RPL26A	Ribosomal Protein of the Large subunit
YLR367W	RPS22B	Ribosomal Protein of the Small subunit
YLR388W	RPS29A	Ribosomal Protein of the Small subunit
YLR406C	RPL31B	Ribosomal Protein of the Large subunit
YLR438W	CAR2	Catabolism of ARginine
YLR439W	MRPL4	Mitochondrial Ribosomal Protein, Large subunit
YLR441C	RPS1A	Ribosomal Protein of the Small subunit
YLR448W	RPL6B	Ribosomal Protein of the Large subunit
YML009C	MRPL39	Mitochondrial Ribosomal Protein, Large subunit
YML024W	RPS17A	Ribosomal Protein of the Small subunit
YML026C	RPS18B	Ribosomal Protein of the Small subunit
YML063W	RPS1B	Ribosomal Protein of the Small subunit
YML065W	ORC1	Origin Recognition Complex
YML073C	RPL6A	Ribosomal Protein of the Large subunit
YML102W	CAC2	Chromatin Assembly Complex
YMR001C	CDC5	Cell Division Cycle
YMR024W	MRPL3	Mitochondrial Ribosomal Protein, Large subunit
YMR042W	ARG80	ARGinine requiring
YMR072W	ABF2	ARS-Binding Factor
YMR117C	SPC24	Spindle Pole Component
YMR121C	RPL15B	Ribosomal Protein of the Large subunit
YMR143W	RPS16A	Ribosomal Protein of the Small subunit
YMR188C	MRPS17	Mitochondrial Ribosomal Protein, Small subunit
YMR194W	RPL36A	Ribosomal Protein of the Large subunit
YMR198W	CIK1	Chromosome Instability and Karyogamy
YMR225C	MRPL44	Mitochondrial Ribosomal Protein, Large subunit
YMR230W	RPS10B	Ribosomal Protein of the Small subunit
YMR242C	RPL20A	Ribosomal Protein of the Large subunit
YMR284W	YKU70	Yeast KU protein
YMR286W	MRPL33	Mitochondrial Ribosomal Protein, Large subunit
YMR294W	JNM1	Just Nuclear Migration
YNL067W	RPL9B	Ribosomal Protein of the Large subunit
YNL088W	TOP2	TOPoisomerase
YNL096C	RPS7B	Ribosomal Protein of the Small subunit
YNL102W	POL1	POLymerase
YNL126W	SPC98	Spindle Pole Component
YNL142W	MEP2	unknown
YNL252C	MRPL17	Mitochondrial Ribosomal Protein, Large subunit
YNL290W	RFC3	Replication Factor C
YNL301C	RPL18B	Ribosomal Protein of the Large subunit
YNL302C	RPS19B	Ribosomal Protein of the Small subunit
YNL306W	MRPS18	Mitochondrial Ribosomal Protein, Small subunit
YNL312W	RFA2	Replication Factor A
YNR036C	MRPS12	Mitochondrial Ribosomal Protein, Small subunit
YOL039W	RPP2A	Ribosomal Protein P2 Alpha
YOL040C	RPS15	Ribosomal Protein of the Small subunit
YOL058W	ARG1	ARGinine requiring
YOL069W	NUF2	NUclear Filament-containing protein
YOL127W	RPL25	Ribosomal Protein of the Large subunit
YOR167C	RPS28A	Ribosomal Protein of the Small subunit
YOR234C	RPL33B	Ribosomal Protein of the Large subunit
YOR293W	RPS10A	Ribosomal Protein of the Small subunit
YOR312C	RPL20B	Ribosomal Protein of the Large subunit
YOR330C	MIP1	MItochondrial DNA Polymerase
YOR369C	RPS12	Ribosomal Protein of the Small subunit
YOR373W	NUD1	unknown
YPL013C	MRPS16	Mitochondrial Ribosomal Protein, Small subunit
YPL081W	RPS9A	Ribosomal Protein of the Small subunit
YPL090C	RPS6A	Ribosomal Protein of the Small subunit
YPL124W	SPC29	Spindle Pole Component
YPL143W	RPL33A	Ribosomal Protein of the Large subunit
YPL173W	MRPL40	Mitochondrial Ribosomal Protein, Large subunit
YPL198W	RPL7B	Ribosomal Protein of the Large subunit
YPL249C	GYP5	Gtpase-activating protein for Ypt Proteins
YPL255W	BBP1	Bfr1 Binding Protein
YPL256C	CLN2	CycLiN
YPR003C	YPR003C	unknown
YPR018W	RLF2	Rap1 protein Localization Factor
YPR019W	MCM4	MiniChromosome Maintenance
YPR043W	RPL43A	Ribosomal Protein of the Large subunit
YPR102C	RPL11A	Ribosomal Protein of the Large subunit
YPR120C	CLB5	CycLin B
YPR135W	CTF4	Chromosome Transmission Fidelity
YPR141C	KAR3	KARyogamy
YPR167C	MET16	METhionine requiring
YPR175W	DPB2	DNA Polymerase B subunit 2
